Bo_14_4a	Bo_15_4a	Bo_22_4a	Bo_23_4a	Bo_24_4a	Bo_25_4a	Bo_20_4a	Bo_21_4a	Bo_14_5a	Bo_15_5a	Bo_22_5a	Bo_23_5a	Bo_24_5a	Bo_25_5a	Bo_20_5a	Bo_21_5a
chr1,221716421,221717140	-0.655410956016936	-0.346449947982366	-0.535471907975359	-0.74482027938288	1.43806121671792	1.22400567373976	0.737435513949845	1.41967457661959	0.0691035758741573	0.107177912050743	0.803943708936297	0.961644493482655	-0.712834471598694	-1.84906458214468	-1.21488530753799	-0.702109218732061
chr2,198015138,198015408	-0.924167496506079	-0.583541391911186	-0.61735574134686	-0.811373368775752	1.58156948831992	0.822920897952218	1.30089661278988	1.45323314655629	0.0557250316643763	0.0601717310694702	0.64291562201452	0.887711862914812	-0.550188182048329	-1.671991699808	-1.06950782758383	-0.577018685301449
chr3,7889502,7890113	-0.469042684234286	-0.773300943879274	-1.14379998949702	-0.135288495015815	1.52753037164538	1.86514672077644	0.936668112753155	1.31005073889389	-0.115671802823868	0.333182946354954	0.177232701655277	0.461027538833862	-0.699452347963618	-1.1887492759155	-1.08907838599782	-0.996455205585755
chr3,51965968,51966861	-0.753022556057647	-0.725114207703152	-0.571770927743958	-0.476763345329611	1.26538783028063	0.718075823359054	1.50031449239435	1.5128795158043	-0.163693228730517	0.211886226207442	1.40851346196609	0.121401010533324	-1.321196246077	-1.42451309520768	-0.611732563327757	-0.690652190367881
chr3,135508270,135508942	-1.03475185011015	-0.461224384452966	-1.09342201547554	-0.976163153031061	1.6064010360221	0.833076417808709	0.612608438983423	0.429340732995806	1.43040202410965	0.788972851293084	1.03400556823414	0.287826080604645	-1.40396891489735	-0.202899029163426	-0.61731298436207	-1.23289081855899
chr4,116740146,116740959	-0.179099280505817	-0.47945641984067	-1.16297232931157	0.298108187824249	1.49476771180748	2.09965254714817	0.610793784986686	0.632556041211332	0.948674932647827	-0.147670915734435	0.075432727875005	0.230681917192434	-1.10143749454334	-1.02250814544976	-1.1178163180649	-1.1797069472427
chr4,157989589,157990378	-1.04663061625521	-0.903297530389771	-0.460725333070583	-1.04213091371217	0.970774373258286	0.445538874774667	1.16413915478458	1.89538223358777	0.677785855704751	0.326400135973081	0.58524381689945	1.04363179161652	-0.537640615226064	-1.3337656669189	-1.03987919040011	-0.744826370626297
chr5,75485643,75486728	-0.944636473546537	-0.182069313409737	-0.463279897285826	-1.25154138612353	1.78414096340058	1.11704942187025	0.669426981385845	1.52416809806169	0.521942538172731	0.110067935551887	0.853091047883425	0.207506969156503	-1.23588493708096	-1.07009314766627	-0.722840518140343	-0.917048282229704
chr5,129499155,129499606	-0.809941593268702	-0.784747360542853	-0.611602948573736	-0.818878536115966	1.16437116021623	1.01743816462711	1.02282057321376	2.08259041353664	0.0456280353194166	0.392669807876617	0.671366455538879	0.557897799527642	-0.863293478797096	-1.28739459722196	-0.944510284235224	-0.834413611100757
chr6,145473575,145474082	-0.73668875426321	-0.786356655778062	-1.68835726872067	-0.339802984891859	1.40654676943516	1.7301194085229	0.253253528688233	0.222229551142403	0.807538424797322	0.784383312068759	0.868476279818659	0.905155032184446	-0.775929198604733	-0.894132042728842	-0.841453666460179	-0.914981735210334
