logFC	logCPM	PValue	FDR	Bo_14_4a	Bo_15_4a	Bo_22_4a	Bo_23_4a	Bo_24_4a	Bo_25_4a	Bo_20_4a	Bo_21_4a	V1	V2	V3	V4
chr10,104075139,104076359	-0.134615382448635	6.24865424749864	0.0142509750791069	0.0291166793582391	71.447242845871	69.4800482872699	71.7079941048715	76.632631953095	78.7431896967502	75.3051801030742	84.6071433556628	78.8316393668279	chr10	104075139	104076359	Jpt1
chr10,10644436,10645000	0.166222586534969	1.73648360734212	0.457596119077457	0.551963189993082	3.28305241411225	2.83094715177529	4.27477023298016	2.87976743793682	2.33273890209103	2.62654245538445	2.91707698476364	3.93850772939921	chr10	10644436	10645000	Ppl
chr10,108691200,108691961	0.786740464634099	2.91069273311964	3.34910685633142e-06	1.82232263764593e-05	8.98074803024872	7.71025266045887	11.6259887558974	8.82038927951898	4.46775684542121	4.47682650436466	6.40305790914942	6.15146742133433	chr10	108691200	108691961	Nptx1
chr10,109550728,109552052	0.150560661693226	4.94804474145867	0.0496350845787914	0.0854583212435166	31.0919330038666	31.37905381105	34.0586590491198	32.5791732941738	28.7055169230892	26.4376469642713	32.6616745517789	28.522838588687	chr10	109550728	109552052	Faap100
chr10,11391046,11392333	-0.234233660234583	4.94551417818235	0.00389995359019316	0.00936396865449085	27.4219822534021	31.1658067857879	26.2410257684436	27.7319414456372	36.5469094344974	34.0019845589087	31.9005117935758	30.007319337956	chr10	11391046	11392333	Adcy9
chr10,11392704,11393259	0.135089491203425	2.79962350932519	0.364228430820927	0.45894533746329	7.04840547722579	7.98207000115603	6.32521319469975	7.03235861109066	7.26704298593991	6.99118867582449	6.21018154007364	5.39683690538531	chr10	11392704	11393259	Adcy9
chr10,13004035,13005079	0.451847027914393	2.61842305173691	0.0490730939405734	0.0846286446961378	5.89506359886137	10.0067536226413	7.24920912975885	4.39182026588099	6.38919558287472	5.43739424616773	4.2319394599836	4.0647151265893	chr10	13004035	13005079	Cldn9
chr10,14788051,14789920	0.53085019343652	4.1033634437424	8.22722739961288e-07	5.24350832170865e-06	19.2164600053229	22.1069524259934	22.4804929107466	16.5708787275251	14.2532665857304	14.086991256539	13.5504825845385	13.7731390999354	chr10	14788051	14789920	Cacna1h
chr10,25909634,25910633	-0.214049572387417	6.23068059928743	1.71646436464984e-05	7.77584527075954e-05	70.3823313209633	67.4318928586227	69.7203228920378	69.9134804704839	78.1642044124637	80.9315656642608	77.5422914833801	85.082213463667	chr10	25909634	25910633	Ccng1
chr10,31041169,31042115	0.0546369039770402	5.12958481046995	0.430069167559835	0.525020425261921	36.9743292871031	33.9148557964036	35.5842783631055	35.4533735749914	32.2982755218059	35.8451361001341	32.1816736253838	36.2847545552629	chr10	31041169	31042115	Lsm11
chr10,31145688,31146968	0.00481964363838639	4.56805706150419	0.959077222355586	0.977641307887019	23.9429078684364	22.1260895741594	22.8093344884934	25.434754238144	22.7917067259205	23.2220912314769	24.4698958117155	23.4630546394699	chr10	31145688	31146968	Adam19
chr10,40122098,40123538	-0.0396998953944184	6.24497259718167	0.528375815173765	0.618638235417096	72.7038465053919	77.1650311556212	70.9707989750331	77.628433581019	81.2549646429874	74.8153189288086	81.2187708249317	69.5507027724177	chr10	40122098	40123538	Cdc42se2
chr10,40374370,40374973	0.685130629630061	1.80825391846402	0.000236871409856536	0.000797201174444857	4.34319359454921	3.61019262172583	4.25836035611316	4.15852232313737	2.23320432770348	2.62265295947318	2.63533165440259	2.66949746537728	chr10	40374370	40374973	Anxa6
chr10,40375061,40376078	0.45109202695758	4.19287414156307	1.99074256563824e-07	1.47811080925016e-06	21.2396299902347	21.1429437641376	21.6473973007974	19.620251110406	15.0323809803007	16.0269562147369	14.9621963466076	15.1958810943801	chr10	40375061	40376078	Anxa6
chr10,46331859,46332881	0.290340890181697	3.90642385260135	0.0187280968134717	0.0368815557479727	16.1244113478511	14.5295170500322	15.2896743889671	19.2787750861175	12.8999522821713	12.1520490247377	16.2887336474447	11.9740115250564	chr10	46331859	46332881	Rasd1
chr10,4643728,4645025	-0.235290887646702	6.10412787520769	1.9167487088549e-07	1.4303514274611e-06	62.7570237373455	63.1395924232323	62.1085139319093	64.0683020677451	74.9586451878651	73.5497964438503	73.5916313025368	74.5709093457021	chr10	4643728	4645025	Snn
chr10,47723662,47725176	0.326357886217415	5.17557860184972	9.65723233203287e-07	6.03527147721232e-06	41.7050396797831	38.4937683417635	38.1056159929403	41.7801499869856	31.0345127297135	33.9005140279829	31.713892716269	31.0080607721473	chr10	47723662	47725176	Rnf112
chr10,47856436,47857721	-0.0189630555219574	5.56985056076221	0.767210707429397	0.827028862452074	45.7666342144328	47.4509210662314	46.2632194034346	48.5167789194791	49.16126897111	45.4761301722793	51.1047851314354	44.7705011469909	chr10	47856436	47857721	Epn2
chr10,48569108,48570835	0.331848075276487	3.5888836991189	0.0177069457479811	0.0351388290690951	12.458192201762	16.2501605320559	13.5862458547912	10.5276757554156	11.8223039560194	11.2650880492548	9.50194011869461	9.39920571270366	chr10	48569108	48570835	Adora2b
chr10,52710438,52711479	0.524647300083122	4.36376467964948	3.7254151138363e-07	2.57961354277573e-06	22.9822201989176	27.9444063694057	24.0844016632311	21.3150948321073	18.5127678206246	17.3877725084953	16.6567884349374	14.4503988604226	chr10	52710438	52711479	Dnah9
