logFC	logCPM	PValue	FDR	Bo_14_5a	Bo_15_5a	Bo_22_5a	Bo_23_5a	Bo_24_5a	Bo_25_5a	Bo_20_5a	Bo_21_5a	V1	V2	V3	V4
chr10,107376583,107377054	0.0587189320548501	2.12337725319599	0.741210920842424	0.867137455415987	5.25719821023709	3.9889057963549	3.93387471120266	4.02973653663278	3.70273129445927	4.94519769186355	4.17057381399066	3.7325652584797	chr10	107376583	107377054	Cep295nl
chr10,107385390,107386776	-0.194797095652811	5.02766778685927	0.00156313809525083	0.0132143773034747	31.7663833470091	29.7126407302552	30.1453146200719	29.4536595559091	33.0429857250213	36.3105842292886	35.1421148931155	34.18129312556	chr10	107385390	107386776	Timp2
chr10,14613823,14614394	-0.0286436854931982	1.73392993728389	0.938102700698859	0.979272715960716	2.27993220057984	3.67169874684465	3.98806804095696	2.71046266802654	2.57322960360528	3.27565475551043	3.83063451304213	3.21465645644112	chr10	14613823	14614394	Baiap3
chr10,29450343,29450904	-0.353608832534812	2.51285483991305	0.0103754404942153	0.0522351504772761	3.9624989192646	5.58505668419806	5.28100267425318	4.72402182902404	6.09151979485643	6.13391208645255	6.42714916926414	6.29960204788311	chr10	29450343	29450904	Adra1b
chr10,40763557,40764671	0.108432423990674	3.93170785437037	0.22959284103011	0.429387613730567	16.4903520110922	15.8465941037927	15.1481361708358	15.2828019712333	14.036988651404	16.096471496599	14.5625477311967	13.570939880703	chr10	40763557	40764671	Sparc
chr10,56407775,56408474	0.0765649544708593	2.87711767924382	0.59651249881312	0.768177261797539	6.38516581154894	8.67087214677184	7.78205620056153	6.8089156440268	6.28309076239912	8.08126918366065	7.4533016412289	6.28757521539382	chr10	56407775	56408474	Fgf11
chr10,56409831,56410449	0.040506022140924	3.91466162862011	0.691926628264237	0.835109324179916	16.5610358441685	14.8219709614072	13.3011731562501	15.9059838380809	16.0404697096223	15.4712681821028	13.5348294189884	13.900735133732	chr10	56409831	56410449	Fgf11
chr10,57126914,57127970	-0.0151846267614385	4.92963550178528	0.854631122932166	0.935324480097293	31.8342511673559	28.2517226744832	28.1549211957001	32.4371676621505	33.8651845690654	28.0923134174673	28.507532643822	31.5011004815151	chr10	57126914	57127970	Gltpd2
chr10,57669792,57671775	-0.00208103486236654	3.69682722050533	1	1	10.2135694294409	14.1311525256493	14.0613177174155	12.9201484619857	13.117024742435	11.5733734711957	13.1958761946409	13.457803648318	chr10	57669792	57671775	LOC691995
chr10,63802912,63803530	0.0215663940889782	3.1497965471614	0.879048598220887	0.94937878195476	8.67955924404081	9.35105072811452	8.85725819161941	8.33675325959507	8.00668787846368	9.75428137867599	8.95696844474974	7.99511946382108	chr10	63802912	63803530	Myo1c
chr10,92191115,92192547	-0.17007173795297	3.18945313942986	0.176171813155285	0.363829377082649	8.20768677637276	9.12701663954885	7.2982311534197	9.16762547630801	11.0118479336945	9.82655178224792	8.4068723587367	8.78221009256844	chr10	92191115	92192547	Crhr1
chr1,101686747,101687205	0.222956099508844	4.77109199815519	0.0143613047870244	0.0657319844308595	29.4740406713455	31.8916771496216	26.1606497474071	29.5913277079487	26.0363893130871	29.0569499129118	23.5168200527434	21.7577989284862	chr1	101686747	101687205	Dbp
chr1,101687359,101688419	0.0564086369825421	7.01737216564439	0.233181240803859	0.433411005870888	130.610489071294	136.137775943224	125.730522208119	135.314704308168	132.745470784985	130.334553000472	122.37883375628	122.096275503959	chr1	101687359	101688419	Dbp
chr1,101688633,101688815	0.0590723277794191	3.33402009946072	0.639024238708842	0.79883203649287	12.1931943985974	8.50738552827934	9.93147417416195	9.93384817512476	9.33450338624458	9.61884161980405	9.91383998342538	10.1091214447589	chr1	101688633	101688815	Dbp
chr1,131455439,131456471	-0.177870351023552	5.00765892422894	0.0853163710571867	0.225334218335713	22.9903093763916	36.0585578559337	30.7126141071827	30.4942111796644	36.0424594099435	33.2473365019084	33.4317801973367	33.261074002767	chr1	131455439	131456471	Nr2f2
chr11,65813693,65814245	0.0569818178029805	3.35010502721463	0.575439041115724	0.752980121195932	10.1601671989722	10.3192605087707	10.2154785581295	10.3499849684958	10.0028275523937	9.82765850080549	9.84504675909749	9.77495734866678	chr11	65813693	65814245	Fstl1
chr11,65844809,65846353	-0.142208452028926	4.19277406047712	0.11195542471016	0.269794904870751	16.2119637221621	18.266811466386	18.5626954901448	15.9787537977504	16.9402728072247	20.3491457692706	20.3760638036256	18.4976783972976	chr11	65844809	65846353	Fstl1
chr1,171592039,171593317	-0.250747746771189	3.63534044594836	0.0257596021160126	0.0990757086327174	9.61283341323776	13.3041136795829	10.578077490879	11.3917680882612	14.0483332718875	14.4942569836072	12.6468758373439	12.1907550660901	chr1	171592039	171593317	Syt9
chr12,22680618,22681298	0.18205411861546	2.45985313507029	0.340318015713586	0.550940691016888	3.41473448980968	7.26016509920616	6.49065298061226	5.69609638132811	5.36948823800254	4.32409998550409	5.19645280466091	5.25248849918003	chr12	22680618	22681298	Vgf
chr12,23840427,23841406	0.142383603490489	2.310228694337	0.344486409495506	0.55499523239242	5.99684299639242	4.51006505833809	4.86017307312898	4.86306290603699	4.30101647398605	4.94718961633705	4.64922754589398	4.45919797569067	chr12	23840427	23841406	Hspb1
chr12,50402772,50403849	-0.164665842302223	3.49901569139658	0.137191090315035	0.308271088665484	10.3616533486759	11.0477696535514	9.2980093543601	11.3903146170068	13.5294537757144	11.8486634877388	10.5261964005025	11.2789186477943	chr12	50402772	50403849	Crybb1
chr12,50404220,50405274	0.295169672810949	4.00269319100218	0.00123614306661831	0.0111257487322681	19.3212960237047	16.962516783065	16.0120734313863	17.7824079131971	14.7078325171609	15.4700671335792	13.6726070717428	13.3085117620031	chr12	50404220	50405274	Crybb1
chr1,252549264,252549831	-0.216541672251363	1.7529436128438	0.370388266105095	0.58018822437234	3.84398722035418	1.8714000075367	3.35217942189131	2.84849388170925	3.10737931460697	2.37423523081662	3.69259157902577	4.68226016975695	chr1	252549264	252549831	Acta2
