V1	V2	V3	logFC	logCPM	PValue	FDR	Bo_14_2b	Bo_15_2b	Bo_22_2b	Bo_23_2b	Bo_24_2b	Bo_25_2b	Bo_20_2b	Bo_21_2b	DAR_logFC	DAR_logCPM	DAR_PValue	DAR_FDR	DAR_Bo_14_2a	DAR_Bo_15_2a	DAR_Bo_22_2a	DAR_Bo_23_2a	DAR_Bo_24_2a	DAR_Bo_25_2a	DAR_Bo_20_2a	DAR_Bo_21_2a
chr1,2193965,2194650	120069	Tab2	0.0733503395772633	6.45438801164386	0.327311605359788	0.623431003792727	89.4612077579987	81.0032337576826	98.534167824611	90.0975142807361	90.5238732026776	86.4075099559386	79.5275012973441	84.9043800865533	-0.742109128624776	2.6006113723196	7.87964941854115e-08	2.38643765460751e-06	4.16516695031101	4.03580297700708	4.49568983458798	4.9110156197375	7.27933463031285	6.52242229907598	7.7361881800449	7.93969685834234
chr1,2216954,2217444	116334	Ust	-0.135014235845371	4.73004644843888	0.24794187171579	0.538402539728644	26.5548643597548	25.897927357233	20.2580019198156	27.8864158002677	27.1999036469874	29.1236632735536	22.1706905584002	32.0326211494566	-0.59662644334256	2.73710690805852	4.98961662564482e-06	8.74991252120784e-05	4.8130729001069	5.59881320851752	4.49272378323456	5.74496960078338	7.74585505211005	8.2890144999799	7.45851883608165	7.75430110952768
chr1,7218964,7219879	32470	Plagl1	-0.548995516346108	2.69123859613632	0.000661331664979455	0.00871784060275876	5.21484036917172	5.19516077587149	5.03641247415289	4.94817575480765	7.32354420153525	5.81612636022231	9.7879199521628	6.89012535194766	-0.719625645506229	2.30521436771387	3.19744787892758e-05	0.00042311182425396	2.77668851453335	3.94691853136351	3.02514910530634	4.63281410324797	5.87940231121221	5.40392557164028	5.50117502719973	6.9248256819757
chr1,11410721,11411264	346966	LOC100909435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.707309738945737	2.19644040798515	1.98796176844384e-05	0.000283665591666201	2.77672115461031	3.48728720430745	3.30249588583642	3.79906058608187	5.31980020610009	4.84528594392105	5.12805212487932	6.55571551890994
chr1,11431254,11431805	326425	LOC100909435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.875958225665857	2.08281780595595	3.47409518444825e-07	8.71153589279574e-06	2.40649565793357	2.84433704702728	2.84388762784396	3.33572948665461	5.13308640793904	4.56602341779123	5.03450584177429	6.27869051315122
chr1,12975301,12975874	13631	Txlnb	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.11234939252191	2.04297529321118	8.2805190481475e-10	4.40317554362092e-08	3.14713799060993	1.92457344578884	2.8454933322161	2.03877873162862	5.13355161184986	5.58840001116688	6.15023955790023	4.70714693283596
chr1,13549768,13550164	32176	RF00026	-0.19453541813867	5.00561397013198	0.00716789769868775	0.0557256650013344	29.4465543768482	29.070381046013	31.6031885102787	29.1160702178128	34.7618906295556	35.0058098403775	33.2416145931002	33.4818978370916	-0.942911511364623	1.82922406959373	3.63393258790646e-07	9.0729061951358e-06	2.4065735060476	2.66241337523814	2.20131127894093	1.94608271989028	4.20030036945719	5.30709808524559	3.91677549435303	4.33861187031382
chr1,13569075,13569589	12751	RF00026	-0.19453541813867	5.00561397013198	0.00716789769868775	0.0557256650013344	29.4465543768482	29.070381046013	31.6031885102787	29.1160702178128	34.7618906295556	35.0058098403775	33.2416145931002	33.4818978370916	-0.98020094040631	2.14832749515462	4.48428578600328e-05	0.00055879237240488	2.77678713868734	1.83114611538425	4.13403644479923	2.6873262955513	5.3204121042979	3.54463986314965	6.8015820745057	6.92521036983626
chr1,20331676,20333530	0	AABR07000629.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.666342173395399	3.71328520039769	4.41841823340517e-13	6.17989430245603e-11	10.2741944532685	9.44899664625628	10.5522612412245	9.72981522228578	15.4922546414112	15.6493160319627	16.3123447285965	16.0628319793205
chr1,20704037,20704721	31035	AABR07000639.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.787427076198235	2.60607024776083	1.61458195871066e-08	5.92076098142872e-07	3.88745884386343	4.49666985903673	4.49597447312788	4.44783905555093	7.27970254251756	6.98732770051039	7.08577809531765	8.58655709012731
