chr10	29450343	29450904	Adra1b
chr10	54467547	54468753	Usp43
chr10	54468852	54469174	Usp43
chr10	63952812	63953176	Doc2b
chr10	86003956	86004386	Stac2
chr10	89180984	89181713	Wnk4
chr1	16202066	16202980	Pde7b
chr1	16203659	16204444	Pde7b
chr1	191343961	191345572	Hs3st2
chr12	23840427	23841406	Hspb1
chr1	225128098	225129468	Rom1
chr1	226501336	226502475	Lrrc10b
chr12	44173087	44173729	Tesc
chr12	44174354	44174817	Tesc
chr13	108178326	108179088	Cenpf
chr13	113691706	113692866	Cd34
chr13	51956553	51956914	Ptprv
chr13	70574426	70575112	Lamc2
chr13	83074848	83075568	Dpt
chr14	8432180	8432893	Arhgap24
chr15	33120708	33121544	Rem2
chr15	52556502	52557210	Gfra2
chr1	56167563	56168589	Dact2
chr17	44737908	44739417	LOC100910554
chr17	66396429	66396833	Actn2
chr17	66397103	66398023	Actn2
chr18	37596746	37597622	Stk32a
chr18	62849567	62851084	Gnal
chr18	83777510	83778497	Cbln2
chr1	92774374	92776096	Tshz3
chr19	31031657	31032380	Frem3
chr20	14282343	14283285	Adora2a
chr2	104460302	104461289	Crh
chr2	212246304	212247977	Vav3
chr2	224408122	224408849	AABR07013140.1
chr2	3400296	3401716	Mctp1
chr2	3618072	3618662	Mctp1
chr2	3661308	3662010	Mctp1
chr2	48501157	48502094	Isl1
chr3	104816729	104817558	Fmn1
chr3	104898754	104899652	Fmn1
chr3	119805032	119806220	Adra2b
chr3	122206198	122207004	Pdyn
chr3	138461076	138462070	Ovol2
chr3	142751682	142752653	Thbd
chr3	142753232	142753915	Thbd
chr3	176282887	176283174	Bhlhe23
chr3	44341645	44343219	Acvr1c
chr3	48536694	48537191	Fap
chr5	147412143	147412857	RGD1561149
chr5	147413617	147414136	RGD1561149
chr5	68058525	68059610	Plppr1
chr5	68138303	68140335	Plppr1
chr6	123033841	123034679	Cpg1
chr6	127399869	127401350	Ppp4r4
chr6	57516065	57517848	Dgkb
chr7	11581397	11582319	Gng7
chr7	11582769	11583273	Gng7
chr7	116254173	116255131	Cyp11b3
chr7	67344205	67345425	Avpr1a
chr8	21742545	21742844	Olfm2
chr8	21743036	21744653	Olfm2
chr8	24369296	24370790	Bmper
chr8	71055855	71056120	Ankdd1a
chr8	87315743	87316529	Filip1
chr8	87419325	87420114	Filip1
chr8	97113990	97115411	Ankrd34c
chrX	140303412	140304442	Gpr101
