chr10	10644436	10645000	Ppl
chr10	14613823	14614394	Baiap3
chr10	36097675	36098243	Adamts2
chr10	36098521	36099810	Adamts2
chr10	36740915	36741723	LOC103693323
chr10	45659897	45660459	Wnt9a
chr10	46331859	46332881	Rasd1
chr10	52710438	52711479	Dnah9
chr10	53037510	53039088	Shisa6
chr10	54467547	54468753	Usp43
chr10	54468852	54469174	Usp43
chr10	54966671	54967992	Ntn1
chr10	54968167	54969063	Ntn1
chr10	56289926	56290568	Tnfsf13
chr10	57669792	57671775	LOC691995
chr10	72271948	72272753	Car4
chr10	74678886	74680353	Ppm1e
chr10	82746349	82747302	Col1a1
chr10	83407543	83408332	Ngfr
chr10	85574419	85575449	Epop
chr10	86282842	86283329	Neurod2
chr10	86283554	86284285	Neurod2
chr10	88666354	88666614	Kcnh4
chr10	88667185	88667839	Kcnh4
chr10	97506178	97506858	AABR07030647.1
chr1	100530819	100531363	Mybpc2
chr1	101085820	101086444	Rcn3
chr1	101161077	101161514	Slc17a7
chr1	101166927	101167189	Slc17a7
chr11	17537627	17538493	Chodl
chr1	11905495	11905944	RF00002
chr1	11906082	11906970	RF00002
chr1	11907408	11907727	RF00002
chr1	128720692	128722359	Synm
chr11	30549254	30550908	Hunk
chr1	131455439	131456471	Nr2f2
chr1	143534226	143535900	Homer2
chr1	152072456	152073151	Rab38
chr11	61320543	61322349	Sidt1
chr1	162385289	162385944	Thrsp
chr1	165528848	165529163	Dnajb13
chr1	165529856	165530378	Dnajb13
chr1	174410615	174411739	Nrip3
chr1	176981624	176983317	Dkk3
chr1	177048206	177049101	Mical2
chr1	177049249	177049587	Mical2
chr11	77815011	77815742	Cldn1
chr11	81971705	81972752	Dgkg
chr11	87015830	87016333	Rtn4r
chr11	87016929	87017913	Rtn4r
chr11	87434426	87434942	P2rx6
chr11	87548579	87549629	Ccdc74a
chr11	88971103	88971535	AABR07034767.1
chr11	88971849	88972926	AABR07034767.1
chr1	189233121	189233633	Acsm5
chr11	90406348	90407511	Snai2
chr1	201336526	201337867	Btbd16
chr1	213594232	213595037	Scgb1c1
